route_no,from,to,route
1,Jayanagar 9th Block Petrol Pump,Yeshwantpur Railway Station,"Jayanagar 4th Block, South End, Gandhi Bazaar, Goods Shed Road, Majestic, Malleshwaram, Yeshvantapur Railway Station"
1D,Jayanagar 9th Block,Chowdeshwari Bus Station,"Jayanagar 4th Block, South End, Vidhana Soudha, Malleshwaram, Yeshwantpur, Mathikere"
2,Kempegowda Bus Station (KBS),J.P. Nagar 6th Phase,"SSMRV, Jayanagar, Lalbagh, Town Hall, J.P.Nagar 6th Phase"
2A,KBS (Majestic),Indira Gandhi Circle,"SSMRV, Jayanagar, Lalbagh, Town Hall, Indira Gandhi Circle"
2B,KBS (Majestic),Eliyas Nagar,"JP Nagar 15th Cross, SSMRV, Tel Exchange, Eliyas Nagar"
2F,J.P.Nagar 6th Phase,Eliyas Nagar,"Lalbagh, Corporation, Majestic, Sujatha Talkies, Eliyas Nagar"
3B,Banashankari 3rd Stage 2nd Phase,Jayanagar 9th Block,"Ramakrishna Ashram, Gandhi Bazaar, Jayanagar 9th Block"
3E,Banashankari 3rd Stage 2nd Phase,BTM Layout,"Gandhi Bazaar, Jayanagar 4th block, East End, BTM Layout"
3C,Srinagar,J P Nagar 6th Phase,"Gandhi Bazaar, Jayanagar 4th block"
9,KBS (Majestic),Jayadeva Flyover,"Mysuru Road Satellite Bus Stop, Hoskerehalli Cross, Kamakya, J P Nagar 6th Phase, J P Nagar 3rd Phase"
11,K. R. Market,Banashankari,"V. V. Puram circle, Mavalli, Lalbaugh, South End, Sangam Circle"
12,KBS (Majestic),Banashankari,"Lalbagh, Nanda Theatre, Sangam Circle, Banashankari"
12A,KBS (Majestic),Kadirenhalli Park,"Lalbagh, Yediyur, Monotype, Yarabnagar"
12B,KBS (Majestic),Padmanabhanagar,"Lalbagh, Yediyur, Banashankari BDA Complex, Padmanabhanagar"
12C,KBS (Majestic),Padmanabhanagar,"Lalbagh, South End Circle, K. R. Road, Banashankari BDA Complex, Padmanabhanagar"
12E,KBS (Majestic),Banashankari Bus Stand,"Lalbaugh, Yediyur, Jayanagar 7th Block, Banashankari Bus Stand"
13,Shivajinagar,Banashankari,"Jayanagar 4th Block, Shantinagar bus stand, Shivajinagar"
